x,y,label
0.619,0.921,1
0.823,0.376,1
0.706,0.052,1
0.743,0.028,1
0.786,0.186,1
0.654,0.937,1
0.765,0.139,1
0.718,0.121,1
0.768,0.374,1
0.632,1.041,1
0.638,0.944,1
0.701,0.957,1
0.767,0.123,1
0.891,0.237,1
0.875,0.345,1
0.613,0.958,1
0.876,0.313,1
0.621,0.659,1
0.765,0.327,1
0.828,0.28,1
0.579,0.706,1
0.614,0.104,1
0.752,0.267,1
0.528,0.723,1
0.74,0.704,1
0.89,0.359,1
0.676,0.164,1
0.958,0.291,1
0.664,0.93,1
0.695,0.782,1
0.622,0.95,1
0.708,0.152,1
0.894,0.386,1
0.823,0.319,1
0.771,0.959,1
0.7,0.076,1
0.556,0.798,1
0.735,0.835,1
0.673,0.105,1
0.671,0.09,1
0.878,0.282,1
0.598,0.561,1
0.814,0.249,1
0.745,0.142,1
0.859,0.388,1
0.786,0.895,1
0.724,0.277,1
0.657,0.765,1
0.866,0.27,1
0.828,1.032,1
0.65,0.991,1
0.561,0.679,1
0.72,0.213,1
0.662,1.009,1
0.678,0.759,1
0.662,0.875,1
0.637,0.979,1
0.737,0.295,1
0.666,0.888,1
0.788,0.293,1
0.813,0.417,1
0.989,0.385,1
0.628,0.565,1
0.603,0.892,1
0.659,0.979,1
0.698,0.95,1
0.562,0.663,1
0.665,0.925,1
0.676,0.066,1
0.783,0.883,1
0.736,0.298,1
0.841,0.321,1
0.592,0.656,1
0.513,0.599,1
0.813,0.233,1
0.855,0.07,1
0.815,0.341,1
0.851,0.286,1
0.845,0.297,1
0.609,0.682,1
0.811,0.281,1
0.718,0.068,1
0.632,0.574,1
0.587,0.675,1
0.698,0.401,1
0.656,0.93,1
0.876,0.298,1
0.609,0.12,1
0.75,0.334,1
0.719,0.953,1
0.503,0.616,1
0.714,0.337,1
0.594,0.68,1
0.743,0.289,1
0.759,0.457,1
0.641,0.753,1
0.752,0.983,1
0.661,0.136,1
0.835,0.377,1
0.636,0.674,1
0.81,0.344,1
0.757,0.907,1
0.678,0.051,1
0.635,0.032,1
0.629,0.963,1
0.791,0.431,1
0.738,0.034,1
0.525,0.748,1
0.81,0.947,1
0.869,0.275,1
0.61,0.722,1
0.908,0.396,1
0.561,0.531,1
0.766,0.148,1
0.535,0.678,1
0.698,0.991,1
0.691,0.904,1
0.683,0.582,1
0.95,0.352,1
0.621,0.655,1
0.698,0.914,1
0.805,0.244,1
0.881,0.362,1
0.805,0.402,1
0.811,0.007,1
0.735,0.294,1
0.718,0.161,1
0.657,0.659,1
0.635,0.909,1
0.525,0.71,1
0.82,0.253,1
0.759,0.233,1
0.677,0.978,1
0.747,0.103,1
0.838,0.38,1
0.544,0.709,1
0.722,0.18,1
0.867,0.245,1
0.78,0.389,1
0.901,0.233,1
0.6,0.7,1
0.82,0.236,1
0.643,0.929,1
0.843,0.408,1
0.69,0.304,1
0.739,0.139,1
0.81,0.309,1
0.601,0.762,1
0.755,0.876,1
0.725,0.12,1
0.645,0.6,1
0.562,0.918,1
0.714,0.877,1
0.693,0.321,1
0.74,0.442,1
0.591,0.835,1
0.639,0.938,1
0.789,0.123,1
0.593,0.709,1
0.749,1.005,1
0.724,0.008,1
0.705,0.083,1
0.616,0.589,1
0.665,0.906,1
0.563,0.66,1
0.637,1,1
0.6,0.113,1
0.683,0.95,1
0.879,0.268,1
