x,y,label
0.82,0.296,1
0.711,0.064,1
0.637,1.012,1
0.878,0.291,1
0.863,0.252,1
0.728,1.047,1
0.792,0.283,1
0.683,0.931,1
0.689,0.337,1
0.679,0.873,1
0.782,0.277,1
0.766,0.067,1
0.549,0.578,1
0.681,0.109,1
0.625,0.53,1
0.849,0.284,1
0.712,0.11,1
0.755,0.683,1
0.752,0.105,1
0.616,0.856,1
0.722,0.099,1
0.879,0.27,1
0.821,0.092,1
0.518,0.655,1
0.595,0.649,1
0.751,0.333,1
0.7,1,1
0.592,0.703,1
0.644,0.917,1
0.789,0.291,1
0.729,0.163,1
0.616,0.051,1
0.744,0.049,1
0.752,0.009,1
0.778,0.356,1
0.71,0.084,1
0.579,0.752,1
0.618,0.947,1
0.598,0.774,1
0.61,0.72,1
0.81,0.306,1
0.707,0.14,1
0.775,0.279,1
0.466,0.704,1
0.856,0.407,1
0.649,0.107,1
0.791,0.279,1
0.734,0.348,1
0.59,0.662,1
0.725,0.158,1
0.715,0.856,1
0.785,0.267,1
0.564,0.724,1
0.799,0.34,1
0.744,0.144,1
0.596,0.606,1
0.585,0.733,1
0.683,0.842,1
0.685,0.923,1
0.713,0.935,1
0.708,0.94,1
0.834,0.335,1
0.605,0.982,1
0.505,0.701,1
0.714,0.156,1
0.808,0.255,1
0.469,0.721,1
0.77,0.373,1
0.595,0.768,1
0.633,0.568,1
0.732,0.873,1
0.752,0.143,1
0.638,0.886,1
0.868,0.314,1
0.595,0.535,1
0.563,0.627,1
0.677,0.914,1
0.627,0.831,1
0.624,0.903,1
0.657,0.166,1
0.761,0.179,1
0.59,0.547,1
0.726,0.068,1
0.775,0.159,1
0.406,0.641,2
0.731,0.146,1
0.711,0.134,1
0.782,0.253,1
0.761,0.073,1
0.561,0.637,1
0.874,0.354,1
0.743,0.131,1
0.518,0.692,1
0.554,0.986,1
0.671,0.591,1
0.872,0.332,1
0.705,0.903,1
0.62,0.122,1
0.792,0.978,1
0.643,0.014,1
0.761,0.379,1
0.848,0.387,1
0.737,0.352,1
0.732,0.154,1
0.735,0.335,1
0.856,0.277,1
0.606,0.692,1
0.84,0.347,1
0.661,0.884,1
0.751,0.884,1
0.894,0.196,1
0.61,0.715,1
0.516,0.599,1
0.79,0.053,1
0.651,0.103,1
0.685,0.029,1
0.475,0.644,1
0.742,0.93,1
0.833,0.375,1
0.641,0.699,1
0.768,0.302,1
0.647,0.61,1
0.682,0.991,1
0.792,0.402,1
0.777,0.117,1
0.617,0.895,1
0.689,1.01,1
0.778,0.398,1
0.68,0.109,1
0.732,0.952,1
0.66,0.898,1
0.748,0.913,1
0.696,0.004,1
0.67,0.55,1
