x,y,label
0.906,0.366,1
0.604,0.88,1
0.789,0.289,1
0.631,0.657,1
0.643,1.006,1
0.608,0.7,1
0.671,0.658,1
0.79,0.144,1
0.704,0.013,1
0.702,0.066,1
0.628,0.646,1
0.9,0.264,1
0.65,0.919,1
0.489,0.701,1
0.717,0.031,1
0.699,0.994,1
0.667,0.878,1
0.758,0.27,1
0.631,0.774,1
0.561,0.802,1
0.7,0.143,1
0.692,0.092,1
0.705,0.088,1
0.56,0.668,1
0.711,0.109,1
0.695,0.978,1
0.695,0.611,1
0.695,0.077,1
0.712,0.873,1
0.76,0.986,1
0.714,0.93,1
0.643,0.956,1
0.844,0.301,1
0.601,0.526,1
0.735,0.103,1
0.624,0.983,1
0.628,1,1
0.846,0.295,1
0.585,0.683,1
0.669,0.909,1
0.719,0.042,1
0.575,0.669,1
0.535,0.042,1
0.83,0.384,1
0.711,1.06,1
0.706,0.909,1
0.901,0.338,1
0.581,0.637,1
0.757,0.14,1
0.687,0.913,1
0.666,0.838,1
0.76,0.166,1
0.806,0.288,1
0.872,0.467,1
0.703,0.773,1
0.761,0.831,1
0.784,0.064,1
0.684,0.894,1
0.68,0.663,1
0.597,0.936,1
0.717,0.885,1
0.746,0.972,1
0.854,0.347,1
0.684,0.093,1
0.841,0.154,1
0.509,0.649,1
0.909,0.203,1
0.511,0.589,1
0.874,0.294,1
0.595,0.684,1
0.787,0.998,1
0.653,0.73,1
0.788,0.85,1
0.664,0.75,1
0.67,0.953,1
0.707,0.603,1
0.821,0.121,1
0.787,0.191,1
0.682,0.075,1
0.823,0.273,1
0.69,0.995,1
0.649,0.869,1
0.721,1.111,1
0.688,0.677,1
0.666,0.713,1
0.799,0.33,1
0.777,0.919,1
0.755,0.019,1
0.601,0.715,1
0.524,0.736,1
0.783,0.041,1
0.802,0.224,1
0.719,0.819,1
0.703,0.96,1
0.734,0.901,1
0.764,0.342,1
0.546,0.099,1
0.805,0.382,1
0.705,0.109,1
0.884,0.291,1
0.765,0.291,1
0.833,0.35,1
0.631,0.802,1
0.755,0.331,1
0.891,0.337,1
0.51,0.698,1
0.791,0.034,1
0.626,0.821,1
0.621,0.674,1
0.689,0.114,1
0.599,0.768,1
0.598,0.646,1
0.758,0.085,1
0.84,0.401,1
0.467,0.617,1
0.498,0.505,1
0.709,0.969,1
0.727,0.921,1
0.837,0.441,1
0.76,0.444,1
0.679,0.18,1
0.7,0.23,1
0.782,0.958,1
0.844,0.138,1
0.611,0.63,1
0.533,0.602,1
0.798,0.326,1
0.592,1.003,1
0.777,0.001,1
0.693,0.921,1
0.703,0.09,1
0.817,0.35,1
0.604,0.972,1
0.795,0.267,1
0.568,0.925,1
0.765,0.041,1
0.905,0.331,1
0.645,0.705,1
0.85,0.273,1
0.75,0.111,1
0.838,0.341,1
0.714,0.369,1
0.807,0.376,1
0.787,0.4,1
0.57,0.592,1
0.695,0.955,1
0.744,0.133,1
0.655,0.042,1
0.586,0.599,1
0.763,0.15,1
0.753,0.354,1
0.579,0.557,1
0.581,0.738,1
0.837,0.304,1
0.633,0.715,1
0.565,0.639,1
0.76,0.939,1
0.761,0.94,1
0.61,0.682,1
0.723,1.007,1
0.837,0.297,1
0.902,0.331,1
0.589,0.78,1
0.661,0.663,1
0.863,0.281,1
0.478,0.693,1
0.866,0.299,1
0.725,0.093,1
0.784,0.375,1
0.895,0.486,1
0.772,0.286,1
0.814,0.262,1
0.679,0.902,1
0.722,0.132,1
0.716,0.853,1
0.785,0.186,1
0.557,0.682,1
0.683,0.953,1
0.68,0.884,1
0.561,0.965,1
0.652,0.12,1
0.603,0.078,1
0.678,0.98,1
0.644,0.685,1
0.598,0.646,1
0.603,0.11,1
0.658,0.083,1
0.665,0.998,1
0.695,0.101,1
0.731,0.933,1
0.644,0.933,1
0.747,0.91,1
0.832,0.272,1
0.484,0.729,1
0.6,0.705,1
0.577,0.69,1
0.749,0.146,1
0.784,0.339,1
0.75,0.928,1
0.701,0.71,1
0.697,0.046,1
0.624,0.677,1
0.667,1.036,1
0.574,0.597,1
0.622,0.614,1
0.533,0.603,1
0.704,0.101,1
0.7,0.873,1
0.718,0.097,1
0.88,0.352,1
0.664,0.962,1
0.832,0.452,1
0.75,0.321,1
0.616,0.63,1
0.557,1.001,1
0.752,0.967,1
0.864,0.273,1
0.578,0.066,1
0.705,0.703,1
0.754,0.977,1
0.777,0.352,1
0.814,0.415,1
0.949,0.362,1
0.682,0.962,1
0.772,0.79,1
0.842,0.354,1
0.732,0.157,1
0.667,0.067,1
0.794,0.329,1
0.703,0.92,1
0.623,0.633,1
0.735,0.961,1
0.681,1.016,1
0.547,0.581,1
0.735,1.005,1
0.738,0.101,1
0.755,0.078,1
0.699,0.94,1
0.707,0.049,1
0.77,0.367,1
0.552,0.657,1
0.605,0.635,1
0.651,0.129,1
0.663,0.683,1
0.79,0.343,1
0.71,0.677,1
0.686,0.17,1
0.566,0.903,1
0.78,0.159,1
0.79,0.23,1
0.728,0.108,1
0.774,0.937,1
0.887,0.36,1
0.832,0.325,1
0.652,0.844,1
0.74,0.089,1
0.811,0.944,1
0.711,0.024,1
0.657,0.671,1
0.6,0.68,1
0.789,0.255,1
0.778,0.168,1
0.543,0.69,1
0.841,0.409,1
0.811,0.409,1
0.687,0.962,1
0.916,0.359,1
0.712,1.021,1
0.703,0.169,1
0.766,0.818,1
0.661,0.888,1
0.737,0.079,1
0.689,0.899,1
0.697,0.008,1
0.56,0.638,1
0.644,0.688,1
0.582,0.684,1
0.754,1.027,1
0.835,0.402,1
0.812,0.37,1
0.822,0.327,1
0.756,0.033,1
0.815,0.297,1
0.77,0.171,1
0.704,0.223,1
0.9,0.39,1
