points,threads,mode,time_avg,time_std
2000,1,serial,0.0194367,0.00184872
2000,1,parallel_full,0.0187579,0.000119216
2000,1,parallel_divided,0.0187746,0.000182031
2000,4,parallel_full,0.0096874,0.000197726
2000,4,parallel_divided,0.0099007,0.000461999
2000,8,parallel_full,0.0080447,0.000345402
2000,8,parallel_divided,0.0097708,0.000141611
2000,16,parallel_full,0.0077154,0.000468675
2000,16,parallel_divided,0.0098924,0.000149934
4000,1,serial,0.0615205,0.000270374
4000,1,parallel_full,0.0621137,0.000336346
4000,1,parallel_divided,0.0622256,0.000279009
4000,4,parallel_full,0.0309354,0.000938361
4000,4,parallel_divided,0.0212062,0.00024129
4000,8,parallel_full,0.0238678,0.00146108
4000,8,parallel_divided,0.023512,0.00176339
4000,16,parallel_full,0.0213875,0.00123558
4000,16,parallel_divided,0.0239114,0.00109021
8000,1,serial,0.239083,0.0102987
8000,1,parallel_full,0.237307,0.0102663
8000,1,parallel_divided,0.24225,0.00834484
8000,4,parallel_full,0.120916,0.00587532
8000,4,parallel_divided,0.0846508,0.0135773
8000,8,parallel_full,0.0895932,0.00665254
8000,8,parallel_divided,0.0665604,0.00299808
8000,16,parallel_full,0.078812,0.00334483
8000,16,parallel_divided,0.0727359,0.00602159
12000,1,serial,0.52579,0.0147329
12000,1,parallel_full,0.514387,0.0142419
12000,1,parallel_divided,0.547125,0.0499698
12000,4,parallel_full,0.248954,0.00650514
12000,4,parallel_divided,0.156972,0.00367844
12000,8,parallel_full,0.173911,0.00544764
12000,8,parallel_divided,0.136466,0.0189208
12000,16,parallel_full,0.152759,0.0112745
12000,16,parallel_divided,0.134647,0.00328692
14000,1,serial,0.680414,0.00413881
14000,1,parallel_full,0.686575,0.0026956
14000,1,parallel_divided,0.686686,0.00248062
14000,4,parallel_full,0.329454,0.00441046
14000,4,parallel_divided,0.209884,0.00153101
14000,8,parallel_full,0.23005,0.00635625
14000,8,parallel_divided,0.175503,0.00207731
14000,16,parallel_full,0.207764,0.00855175
14000,16,parallel_divided,0.179007,0.00542411
16000,1,serial,0.885713,0.00833264
16000,1,parallel_full,0.893903,0.0057844
16000,1,parallel_divided,0.898404,0.0159379
16000,4,parallel_full,0.443324,0.02051
16000,4,parallel_divided,0.286286,0.0145064
16000,8,parallel_full,0.309284,0.0136727
16000,8,parallel_divided,0.2337,0.00398062
16000,16,parallel_full,0.28585,0.0152565
16000,16,parallel_divided,0.237759,0.0118181
18000,1,serial,1.15182,0.0201488
18000,1,parallel_full,1.1364,0.00921403
18000,1,parallel_divided,1.11552,0.00155027
18000,4,parallel_full,0.53837,0.00520268
18000,4,parallel_divided,0.347023,0.00433044
18000,8,parallel_full,0.382712,0.0101789
18000,8,parallel_divided,0.291746,0.00850748
18000,16,parallel_full,0.340187,0.0195039
18000,16,parallel_divided,0.302448,0.0106955
20000,1,serial,1.39437,0.0327016
20000,1,parallel_full,1.42984,0.0659051
20000,1,parallel_divided,1.39011,0.0153786
20000,4,parallel_full,0.685383,0.0237108
20000,4,parallel_divided,0.449181,0.0176651
20000,8,parallel_full,0.501703,0.0321837
20000,8,parallel_divided,0.378754,0.0144276
20000,16,parallel_full,0.426934,0.0172911
20000,16,parallel_divided,0.372447,0.00617752
