points,threads,mode,time_avg,time_std
2000,1,serial,0.019586,0.00228188
2000,1,parallel_full,0.0191344,0.000256081
2000,4,parallel_full,0.009706,0.000217976
2000,8,parallel_full,0.0083758,0.000721597
2000,16,parallel_full,0.0074232,0.000475543
4000,1,serial,0.0664572,0.0125293
4000,1,parallel_full,0.0638192,0.00187907
4000,4,parallel_full,0.0321023,0.000792385
4000,8,parallel_full,0.0239116,0.00112467
4000,16,parallel_full,0.0214384,0.00149918
8000,1,serial,0.234471,0.00334986
8000,1,parallel_full,0.243081,0.010025
8000,4,parallel_full,0.118434,0.00331078
8000,8,parallel_full,0.0845851,0.00556562
8000,16,parallel_full,0.0781784,0.00596575
12000,1,serial,0.504039,0.00614283
12000,1,parallel_full,0.504309,0.0022583
12000,4,parallel_full,0.245606,0.00173913
12000,8,parallel_full,0.169367,0.0100715
12000,16,parallel_full,0.153446,0.0101537
14000,1,serial,0.674094,0.00681471
14000,1,parallel_full,0.686316,0.0169914
14000,4,parallel_full,0.3298,0.00358163
14000,8,parallel_full,0.230714,0.00999058
14000,16,parallel_full,0.211398,0.0125486
16000,1,serial,0.878717,0.013419
16000,1,parallel_full,0.881901,0.00376978
16000,4,parallel_full,0.435824,0.0102094
16000,8,parallel_full,0.302898,0.0089005
16000,16,parallel_full,0.262076,0.0106764
18000,1,serial,1.10855,0.0166859
18000,1,parallel_full,1.1094,0.00549651
18000,4,parallel_full,0.548146,0.0199548
18000,8,parallel_full,0.374774,0.0156325
18000,16,parallel_full,0.339927,0.0206432
20000,1,serial,1.367,0.0279434
20000,1,parallel_full,1.36728,0.00537377
20000,4,parallel_full,0.669683,0.00979038
20000,8,parallel_full,0.471566,0.0144204
20000,16,parallel_full,0.401083,0.0119937
